Player,Position,Wingspan (in),Height (in),Seasons in College,G-Col,MPG-Col,STL-Col,BLK-Col,PF-Col,STL%-Col,BLK%-Col,SOS-Col,DWS-Col,DWS/40-Col,DBPM-Col,G-NBA,MPG-NBA,STL-NBA,BLK-NBA,DWS-NBA,DWS/48-NBA,DBPM-NBA
Markelle Fultz,SG,81,76,1,25,35.7,1.6,1.2,2.5,2.4,3.1,6.82,0.5,0.022,1.4,14,18.1,0.9,0.3,0.4,0.076,0.8
Lonzo Ball,PG,80.5,78,1,36,35.1,1.8,0.8,1.8,2.8,2.1,6.39,2.0,0.063,3.5,52,34.2,1.7,0.8,2.5,0.067,2.5
Jayson Tatum,SF,83,80,1,29,33.3,1.3,1.1,3.0,2.3,3.2,10.91,1.8,0.075,4.1,80,30.5,1.0,0.7,4.0,0.079,1.5
Josh Jackson,SF,82,80,1,35,30.8,1.7,1.1,3.0,3.1,3.5,12.23,2.2,0.082,5.7,77,25.4,1.0,0.5,1.2,0.029,-1.2
De'Aaron Fox,PG,78,76,1,36,29.6,1.5,0.2,2.5,2.7,0.7,10.49,2.1,0.079,3.7,73,27.8,1.0,0.3,1.1,0.026,-1.5
Jonathan Isaac,PF,85.25,83,1,32,26.2,1.2,1.5,2.2,2.4,6.2,8.87,1.9,0.091,6.2,27,19.9,1.2,1.1,0.8,0.071,3.1
Lauri Markkanen,PF,83,84,1,37,30.8,0.4,0.5,2.0,0.8,1.8,7.63,1.8,0.063,1.5,68,29.7,0.6,0.6,1.6,0.038,-1.3
Dennis Smith,PG,75,74,1,32,34.8,1.9,0.4,2.1,3.1,1.2,8.09,0.9,0.032,1.0,69,29.7,1.0,0.3,1.7,0.040,-0.7
Zach Collins,C,85,82.25,1,39,17.3,0.5,1.8,2.7,1.5,9.8,4.13,2.4,0.142,7.5,66,15.8,0.3,0.5,1.3,0.060,0.9
Malik Monk,SG,78,76,1,38,32.1,0.9,0.5,1.9,1.6,1.5,10.49,1.9,0.062,1.3,63,13.6,0.3,0.1,0.5,0.028,-3.4
Luke Kennard,SG,77.25,76.5,2,75,31.2,0.9,0.3,2.1,1.7,0.8,10.75,2.5,0.043,1.0,73,20.0,0.6,0.2,1.4,0.046,-0.4
Donovan Mitchell,SG,82,73.25,2,65,26.0,1.5,0.3,2.6,3.3,1.3,9.44,3.7,0.088,4.4,79,33.4,1.5,0.3,3.8,0.069,-0.2
Bam Adebayo,C,87,82,1,38,30.1,0.7,1.5,2.6,1.2,4.9,10.49,2.3,0.080,5.3,69,19.8,0.5,0.6,1.9,0.067,1.8
Justin Jackson,SF,82.75,79,3,118,29.1,0.6,0.4,1.5,1.2,1.4,11.40,4.1,0.048,2.2,68,22.1,0.4,0.2,0.5,0.016,-1.5
D.J. Wilson,PF,87,80.75,3,69,19.4,0.4,1.0,1.4,1.2,5.6,9.23,1.9,0.057,4.3,22,3.2,0.1,0.0,0.1,0.068,-1.2
T.J. Leaf,PF,83,82,1,35,29.9,0.6,1.1,2.5,1.1,3.5,6.39,1.6,0.061,3.0,53,8.7,0.1,0.1,0.3,0.031,-2.9
John Collins,PF,83.25,80.25,2,64,20.7,0.5,1.2,2.8,1.3,6.0,10.16,1.4,0.042,1.1,74,24.1,0.6,1.1,2.0,0.054,1.9
Jarrett Allen,C,89.25,81,1,33,32.2,0.6,1.5,2.1,1.0,5.0,12.75,1.7,0.064,4.6,72,20.0,0.4,1.2,1.5,0.050,1.4
OG Anunoby,SF,86.25,78.25,2,50,17.4,1.0,0.9,1.7,3.2,5.5,7.53,1.5,0.069,5.1,74,20.0,0.7,0.2,1.6,0.052,0.4
Caleb Swanigan,PF,87,79.5,2,69,29.2,0.4,0.5,2.5,0.8,1.8,8.12,4.6,0.091,5.0,27,7.0,0.2,0.1,0.3,0.076,0.6
Kyle Kuzma,PF,84.25,80,3,96,21.0,0.3,0.4,1.6,0.9,1.8,6.84,3.5,0.069,1.8,77,31.2,0.6,0.4,2.3,0.046,-1.0
Derrick White,PG,79.5,75.25,1,34,32.8,1.2,1.4,2.1,2.2,4.9,6.00,1.4,0.050,3.2,17,8.2,0.2,0.2,0.2,0.069,0.5
Josh Hart,SG,80.25,75.75,4,146,28.0,1.1,0.3,2.2,2.4,1.2,8.51,8.5,0.083,3.7,63,23.2,0.7,0.3,1.5,0.049,0.2
Ben Simmons,PG,83.5,82,1,33,34.9,2.0,0.8,2.8,3.1,2.5,7.00,2.1,0.073,5.3,81,33.7,1.7,0.9,5.0,0.088,3.6
Brandon Ingram,SF,87,81,1,36,34.6,1.1,1.4,2.1,1.9,3.6,10.59,1.5,0.048,2.9,138,30.8,0.7,0.6,2.5,0.028,-0.2
Jaylen Brown,SG,83.75,77.25,1,34,27.6,0.8,0.6,3.2,1.7,2.2,7.87,1.8,0.077,3.3,148,23.6,0.7,0.3,4.5,0.062,-0.1
Kris Dunn,PG,81.5,75,4,95,31.5,2.2,0.4,2.9,4.1,1.4,8.09,5.8,0.078,4.9,130,22.0,1.4,0.5,3.2,0.054,1.4
Buddy Hield,SG,81.25,75.75,4,132,31.7,1.3,0.3,2.0,2.3,0.9,9.28,6.2,0.059,1.7,162,24.1,0.8,0.2,2.8,0.034,-1.6
Jamal Murray,PG,78.5,77,1,36,35.2,1.0,0.3,2.1,1.6,0.9,8.84,1.8,0.057,1.1,163,26.6,0.8,0.3,1.9,0.021,-2.0
Marquese Chriss,PF,84.25,80.75,1,34,24.9,0.9,1.6,4.1,1.9,5.8,8.12,1.2,0.057,3.1,154,21.2,0.8,0.9,3.0,0.044,0.6
Jakob Poeltl,C,86.75,84.25,2,70,26.9,0.5,1.7,2.4,1.1,6.5,8.10,4.0,0.085,5.6,136,15.8,0.4,0.9,3.2,0.071,2.2
Domantas Sabonis,C,82.5,82,2,74,26.6,0.5,0.6,3.0,1.2,2.2,4.67,4.8,0.098,3.5,155,22.2,0.5,0.4,4.0,0.056,0.2
Taurean Prince,SF,83.5,78.5,4,129,20.2,0.9,0.5,2.1,2.9,2.7,9.08,4.5,0.069,2.9,141,24.4,0.9,0.5,3.5,0.049,0.4
Denzel Valentine,SG,82.75,76,4,144,29.0,0.9,0.3,2.1,1.9,1.1,9.21,7.9,0.076,3.9,134,22.9,0.7,0.1,2.6,0.041,-0.2
Wade Baldwin,PG,82,76,2,68,29.6,1.3,0.2,2.5,2.7,0.7,7.45,3.5,0.070,2.5,40,12.1,0.5,0.2,0.6,0.060,0.3
Henry Ellenson,PF,86.25,82,1,33,33.5,0.8,1.5,2.5,1.4,4.4,5.57,2.0,0.072,2.7,57,8.3,0.1,0.0,0.5,0.051,-2.5
Malik Beasley,SG,79,75.5,1,34,29.8,0.9,0.2,2.2,1.8,0.6,8.16,1.1,0.043,0.7,84,8.9,0.3,0.1,0.3,0.019,-2.6
Caris LeVert,SF,82,77.75,4,103,26.4,0.9,0.2,1.5,2.3,0.9,9.30,3.7,0.054,2.6,128,24.2,1.0,0.2,2.5,0.039,-0.3
DeAndre' Bembry,SF,80,78,3,101,36.1,1.4,0.8,2.5,2.4,2.4,4.20,6.3,0.069,3.1,64,12.9,0.5,0.3,0.9,0.052,0.9
Malachi Richardson,SG,84,76.75,1,37,34.4,1.1,0.3,2.5,2.0,0.9,9.75,1.8,0.057,1.5,48,10.9,0.3,0.0,0.2,0.018,-2.4
Brice Johnson,PF,84.5,81,4,148,21.0,0.8,1.1,2.5,2.0,5.5,9.72,6.8,0.088,5.1,21,5.1,0.5,0.3,0.3,0.134,2.9
Pascal Siakam,PF,87.25,80.25,2,68,32.7,0.9,2.0,2.6,1.7,6.2,-3.60,5.8,0.104,4.2,136,18.7,0.6,0.6,3.7,0.070,2.1
Skal Labissiere,PF,86.5,82.5,1,36,15.8,0.3,1.6,3.0,0.9,10.3,8.84,1.1,0.077,5.6,93,19.9,0.4,0.7,1.5,0.039,-0.2
Dejounte Murray,PG,81.5,77,1,34,33.5,1.8,0.3,2.6,2.8,0.8,8.12,1.6,0.056,2.5,119,17.4,0.9,0.3,3.8,0.088,2.9
Damian Jones,C,87.75,82.25,3,99,27.1,0.4,1.7,3.0,0.9,6.4,7.13,4.9,0.073,3.0,25,7.0,0.1,0.3,0.2,0.055,-1.9
Karl-Anthony Towns,C,87.5,84,1,39,21.1,0.5,2.3,2.9,1.4,11.5,8.67,2.9,0.141,10.8,246,34.9,0.7,1.4,9.1,0.051,0.8
D'Angelo Russell,PG,81.75,77,1,35,33.9,1.6,0.3,2.1,2.8,1.1,7.37,2.4,0.081,3.0,191,27.8,1.1,0.2,2.6,0.024,-1.5
Jahlil Okafor,C,89,83,1,38,30.1,0.8,1.4,2.1,1.5,4.5,9.87,2.2,0.077,4.1,131,23.5,0.3,1.0,2.3,0.036,-0.8
Willie Cauley-Stein,C,87,83.25,3,105,24.5,1.1,2.2,2.3,2.7,9.2,8.12,7.1,0.110,9.2,214,22.8,0.8,0.8,5.1,0.050,1.4
Stanley Johnson,SF,83.5,77,1,38,28.4,1.5,0.4,2.6,3.2,1.6,7.41,2.9,0.107,5.4,219,22.6,0.9,0.2,6.1,0.059,1.1
Frank Kaminsky,PF,83,83.75,4,144,20.4,0.5,1.1,1.6,1.7,5.2,9.61,6.3,0.086,5.4,235,23.4,0.5,0.4,5.3,0.046,-0.6
Justise Winslow,PF,82.25,76.5,1,39,29.1,1.3,0.9,2.8,2.8,2.9,9.87,2.5,0.088,5.3,164,27.7,0.9,0.4,5.8,0.061,1.6
Myles Turner,C,88,81.75,1,34,22.2,0.3,2.6,2.4,0.8,12.3,9.07,2.1,0.111,7.3,206,27.9,0.7,1.8,8.5,0.071,2.1
Trey Lyles,PF,85.5,81,1,36,23.0,0.5,0.4,1.6,1.4,2.1,8.67,2.3,0.111,5.1,224,17.5,0.4,0.3,4.5,0.055,-0.6
Devin Booker,SG,80.25,76.5,1,38,21.5,0.4,0.1,1.5,1.3,0.3,8.67,1.8,0.088,2.0,208,32.2,0.8,0.3,1.8,0.013,-2.5
Cameron Payne,PG,79.25,72.75,2,69,32.4,1.8,0.5,2.4,3.3,1.7,-3.19,3.3,0.059,0.1,113,15.4,0.7,0.2,1.7,0.047,-1.2
Kelly Oubre,SF,86.25,77.75,1,36,21.0,1.1,0.4,2.0,3.3,1.8,12.13,1.7,0.090,3.7,223,20.2,0.7,0.3,4.5,0.048,-0.6
Terry Rozier,PG,80.25,72.5,2,73,26.8,1.5,0.1,1.6,3.4,0.4,6.89,4.9,0.100,3.7,193,18.9,0.7,0.2,5.0,0.066,0.5
Rashad Vaughn,SG,79,75.75,1,23,32.3,0.8,0.3,2.3,1.5,1.1,3.38,1.1,0.059,-1.8,139,12.0,0.4,0.2,0.9,0.026,-1.8
Sam Dekker,PF,83.5,79.75,3,113,27.9,0.6,0.5,1.2,1.5,1.7,10.07,5.3,0.067,2.6,153,15.1,0.4,0.2,1.8,0.037,-0.7
Jerian Grant,PG,79.5,75.25,4,119,36.4,1.5,0.3,1.8,2.6,0.9,6.88,4.5,0.042,0.7,213,18.7,0.8,0.1,3.2,0.039,-1.2
Delon Wright,PG,79.5,76.25,2,68,34.8,2.3,1.1,1.6,4.0,3.5,6.82,6.3,0.106,7.1,123,17.1,0.9,0.4,2.9,0.066,1.3
Justin Anderson,SF,83.75,77.25,3,98,24.1,0.6,0.9,1.4,1.7,4.3,6.64,5.5,0.093,5.1,168,14.3,0.4,0.3,2.8,0.056,-0.1
Bobby Portis,PF,86,81.5,2,70,28.5,1.1,1.5,2.0,2.1,5.3,6.18,3.8,0.076,4.0,199,18.8,0.5,0.3,4.0,0.051,-0.9
Rondae Hollis-Jefferson,SF,86,77.5,2,76,27.0,0.9,0.9,2.4,2.1,3.8,8.23,5.5,0.107,6.9,175,24.5,1.1,0.6,4.9,0.055,1.6
Tyus Jones,PG,77,72.5,1,39,33.9,1.5,0.1,1.2,2.7,0.2,9.87,2.1,0.064,2.8,179,15.7,1.0,0.1,2.1,0.036,-1.0
Jarell Martin,PF,81,80,2,65,30.7,1.0,0.7,2.6,1.9,2.1,6.12,3.5,0.070,1.9,142,18.3,0.5,0.5,2.3,0.042,-0.4
Larry Nance,C,85.5,79.5,4,123,29.5,1.1,1.1,2.3,2.6,4.5,2.02,8.4,0.093,4.9,192,21.5,1.2,0.5,4.6,0.053,1.8
R.J. Hunter,SG,82.5,76.5,3,99,34.7,1.9,0.9,2.2,3.4,3.4,-2.33,5.5,0.064,0.4,44,8.4,0.4,0.1,0.5,0.065,-0.6
Chris McCullough,PF,87.25,80.25,1,16,28.1,1.7,2.1,2.6,3.6,8.5,7.68,1.2,0.107,8.2,59,9.0,0.5,0.3,0.6,0.054,0.1
Kevon Looney,C,87.5,80,1,36,30.9,1.3,0.9,2.9,2.5,3.3,8.27,2.0,0.072,4.0,124,11.1,0.4,0.6,2.1,0.073,1.8
Andrew Wiggins,SF,84,80,1,35,32.8,1.2,1.0,2.7,2.1,3.1,11.40,1.7,0.059,3.0,327,36.2,1.0,0.5,3.1,0.013,-2.1
Jabari Parker,PF,84,80,1,35,30.7,1.1,1.2,2.4,2.1,4.0,8.48,1.9,0.071,2.3,183,30.7,1.0,0.4,4.3,0.037,-1.2
Joel Embiid,C,89,84,1,28,23.1,0.9,2.6,3.4,2.3,11.7,11.40,1.7,0.105,10.2,94,28.7,0.7,2.0,5.3,0.094,2.7
Aaron Gordon,PF,83.75,79.5,1,38,31.2,0.9,1.0,2.4,1.8,3.4,9.04,3.3,0.111,6.7,263,26.1,0.8,0.6,6.6,0.046,0.2
Marcus Smart,SG,81.25,74,2,64,33.1,2.9,0.6,2.9,5.2,2.1,7.53,5.4,0.102,6.1,261,28.7,1.5,0.4,9.8,0.063,1.1
Julius Randle,C,84,79.75,1,40,30.8,0.5,0.8,2.3,1.0,2.6,9.89,2.4,0.078,3.0,238,27.8,0.6,0.5,6.0,0.044,0.4
Nik Stauskas,SG,79.75,77.25,2,75,32.9,0.6,0.3,1.0,1.1,0.9,9.85,2.3,0.037,0.8,267,21.1,0.4,0.3,2.3,0.020,-1.5
Noah Vonleh,PF,88.25,80,1,30,26.5,0.9,1.4,2.7,1.9,5.4,6.64,2.0,0.101,4.9,231,15.5,0.3,0.3,3.9,0.052,-0.1
Elfrid Payton,PG,80,74.5,3,100,31.6,2.0,0.5,2.3,3.5,1.6,-1.60,4.9,0.062,1.9,300,29.5,1.3,0.3,7.5,0.041,0.2
Doug McDermott,SF,81.25,78.25,4,145,31.5,0.2,0.1,1.8,0.5,0.3,4.29,5.2,0.046,-1.5,264,20.7,0.2,0.1,2.5,0.022,-2.3
Zach LaVine,SG,80.25,76.5,1,37,24.4,0.9,0.2,2.0,2.1,0.8,7.62,1.2,0.053,0.7,230,28.7,0.8,0.2,1.5,0.011,-2.5
T.J. Warren,SF,82.25,79,2,70,31.2,1.5,0.5,2.5,2.9,1.7,7.31,2.5,0.046,0.7,218,26.9,0.9,0.5,2.9,0.024,-1.2
Adreian Payne,PF,88,81,4,138,20.0,0.6,1.0,2.2,1.7,5.8,10.35,6.2,0.090,4.5,107,13.1,0.4,0.3,0.8,0.027,-0.8
James Young,SG,84,77.25,1,40,32.4,0.8,0.2,2.1,1.4,0.6,9.89,1.7,0.052,0.8,95,8.5,0.3,0.1,0.7,0.042,-1.3
Tyler Ennis,PG,79.25,73,1,34,35.7,2.1,0.2,2.0,3.9,0.7,7.25,2.2,0.072,2.3,186,12.6,0.5,0.1,1.8,0.037,-1.6
Gary Harris,SG,78.75,74.5,2,69,31.0,1.6,0.3,2.0,3.1,1.1,9.96,3.6,0.067,2.2,255,28.4,1.3,0.2,3.9,0.026,-1.1
Mitch McGary,PF,84,82,2,47,20.6,1.2,0.7,2.5,3.7,3.7,9.85,2.2,0.091,5.8,52,10.7,0.3,0.3,0.8,0.069,-0.3
Jordan Adams,SG,82,77,2,69,30.2,2.4,0.2,2.1,4.6,0.8,7.72,3.8,0.073,3.0,32,8.2,0.6,0.2,0.5,0.091,1.4
Rodney Hood,SG,80.5,79.25,2,67,32.8,0.6,0.3,2.0,1.1,1.0,6.67,2.0,0.036,0.4,248,27.5,0.8,0.2,6.8,0.048,-1.2
Shabazz Napier,PG,75.25,71,4,143,32.3,1.8,0.2,2.1,3.4,0.7,8.64,7.4,0.064,2.5,233,15.7,0.8,0.1,3.7,0.049,-0.6
P.J. Hairston,SF-SG,81.5,77,2,71,18.1,0.8,0.3,1.7,2.5,1.5,7.54,2.0,0.062,1.4,111,18.0,0.5,0.2,1.9,0.046,-1.4
C.J. Wilcox,SG,81.75,77,4,131,28.5,0.9,0.7,1.9,1.7,2.6,6.67,3.7,0.040,0.8,66,5.7,0.2,0.1,0.3,0.038,-1.8
Josh Huestis,PF,85,79,4,135,25.0,0.5,1.4,1.7,1.2,5.9,6.38,6.0,0.071,5.0,76,14.1,0.2,0.6,1.1,0.049,0.6
Kyle Anderson,SF,86.75,79.5,2,71,31.6,1.8,0.8,1.9,3.2,2.8,7.72,4.8,0.086,6.3,257,17.9,0.9,0.5,9.2,0.096,3.9
Anthony Bennett,PF,85,79,1,35.0,27.1,0.7,1.2,2.3,1.5,4.6,5.71,2.2,0.093,3.2,151,12.6,0.4,0.2,1.4,0.035,-1.6
Victor Oladipo,SG,81.25,75.25,3,104.0,24.6,1.5,0.5,2.4,3.8,2.3,7.94,4.9,0.077,5.0,366,33.4,1.7,0.5,13.7,0.054,0.3
Otto Porter,SF,85.5,79.5,2,64.0,32.5,1.5,0.9,2.0,2.9,3.1,7.64,5.3,0.102,5.6,343,26.4,1.1,0.4,10.8,0.057,0.9
Cody Zeller,C,82.75,82.75,2,72.0,29.0,1.2,1.2,2.5,2.5,4.4,8.09,4.2,0.080,4.7,312,22.5,0.7,0.7,10.0,0.068,2.1
Alex Len,C,87.5,85,2,60.0,24.5,0.2,2.1,2.6,0.5,8.6,5.32,6.1,0.166,5.2,335,19.9,0.4,1.0,12.4,0.089,1.2
Nerlens Noel,C,87.75,82,1,24.0,31.9,2.1,4.4,2.6,3.9,13.2,5.78,2.3,0.120,11.7,223,26.0,1.6,1.4,9.8,0.081,4.0
Ben McLemore,SG,79.75,75.5,1,37.0,32.2,1.0,0.7,1.9,1.8,2.2,7.54,2.3,0.077,2.9,349,24.5,0.7,0.2,3.5,0.020,-1.5
Kentavious Caldwell-Pope,SG,80,76.5,2,64.0,33.0,1.9,0.4,2.2,3.8,1.6,7.02,3.8,0.072,2.4,388,30.8,1.2,0.2,10.5,0.042,-0.1
Trey Burke,PG,77.5,71.75,2,73.0,35.7,1.3,0.5,1.7,2.3,1.4,9.51,3.2,0.049,1.8,303,24.4,0.6,0.1,3.3,0.021,-2.6
C.J. McCollum,SG,78,75,4,111.0,32.9,2.1,0.5,1.8,3.6,1.5,-5.41,6.6,0.072,1.7,341,29.2,0.9,0.3,7.4,0.036,-1.6
Michael Carter-Williams,PG,79.25,76.75,2,66.0,25.4,2.0,0.4,1.8,4.7,2.0,8.29,4.0,0.198,5.1,287,27.5,1.4,0.6,9.0,0.055,0.9
Steven Adams,C,88.5,82.75,1,32.0,23.4,0.7,2.0,1.6,1.9,11.2,5.63,1.9,0.101,8.8,387,25.5,0.8,1.0,12.7,0.062,1.4
Kelly Olynyk,PF,81.75,82.75,3,101.0,17.2,0.5,0.5,2.0,1.8,3.1,4.00,3.6,0.083,3.7,354,21.3,0.7,0.5,10.0,0.064,0.8
Shabazz Muhammad,SF-SG,83,76.75,1,32.0,30.8,0.7,0.1,1.7,1.3,0.4,7.82,0.8,0.032,2.7,278,17.2,0.3,0.1,0.7,0.007,-4.0
Shane Larkin,PG,70.75,70.25,2,68.0,31.3,1.8,0.1,1.6,3.5,0.3,7.03,3.3,0.062,2.7,256,19.1,0.9,0.1,3.3,0.032,-0.7
Tony Snell,SG,83.5,78,3,104.0,24.8,0.5,0.3,1.2,1.3,1.6,4.95,3.8,0.059,1.4,368,22.6,0.5,0.2,6.0,0.035,-0.9
Gorgui Dieng,C,87.5,81.75,3,102.0,27.3,1.0,2.6,2.7,2.2,10.6,8.78,7.8,0.112,10.5,376,24.5,0.9,1.1,9.2,0.048,2.1
Mason Plumlee,C,83,83.25,4,141.0,25.9,0.8,1.4,2.5,1.8,5.0,8.87,8.2,0.090,6.5,389,22.3,0.8,1.0,10.8,0.060,2.4
Solomon Hill,SF,81.5,79,4,139.0,29.0,0.9,0.4,2.4,1.9,1.3,7.05,6.0,0.060,3.6,261,23.1,0.7,0.2,6.8,0.054,1.1
Tim Hardaway,SG,79,78,3,107.0,33.3,0.7,0.3,2.0,1.4,1.0,9.90,4.3,0.048,1.2,338,25.0,0.6,0.2,4.5,0.026,-2.5
Reggie Bullock,SF,80.75,77.75,3,100.0,24.6,0.9,0.2,1.2,2.0,0.8,8.41,4.0,0.065,3.0,209,16.1,0.4,0.1,3.0,0.043,-0.5
Andre Roberson,SG,83,78.25,3,105.0,28.3,1.6,1.4,2.6,3.3,5.4,6.43,7.5,0.101,6.5,295,22.5,0.9,0.7,12.7,0.092,2.0
Archie Goodwin,PG-SG,81.5,75.75,1,33.0,31.8,1.1,0.5,2.9,2.1,1.4,5.78,1.5,0.057,1.2,165,14.5,0.4,0.2,1.5,0.030,-1.3
